meeting,model,method,persona,accuracy,accuracy_mean,accuracy_std,completeness,completeness_mean,completeness_std,persona_rel,persona_rel_mean,persona_rel_std,fluency,fluency_mean,fluency_std
ES2002a,flan-t5,Baseline,generic,"[3.0, 2.8, 3.0]",2.93,0.09,"[2.7, 2.1, 2.1]",2.3,0.28,"[2.6, 2.3, 1.8]",2.23,0.33,"[3.4, 3.0, 3.0]",3.13,0.19
ES2002a,flan-t5,Method1,generic,"[3.7, 2.9, 3.0]",3.2,0.36,"[3.6, 3.4, 3.9]",3.63,0.21,"[2.5, 2.3, 3.3]",2.7,0.43,"[3.6, 3.7, 3.2]",3.5,0.22
ES2002a,flan-t5,Method2,manager,"[3.3, 3.5, 3.1]",3.3,0.16,"[3.5, 3.2, 3.3]",3.33,0.12,"[4.3, 5, 4.5]",4.6,0.29,"[3.4, 4.1, 3.4]",3.63,0.33
ES2002a,flan-t5,Method2,engineer,"[3.6, 2.8, 3.0]",3.13,0.34,"[3.5, 3.7, 3.5]",3.57,0.09,"[4.3, 4.2, 3.8]",4.1,0.22,"[3.5, 3.6, 4.2]",3.77,0.31
ES2002a,flan-t5,Method2,stakeholder,"[3.6, 2.9, 3.6]",3.37,0.33,"[3.3, 3.2, 3.6]",3.37,0.17,"[4.8, 4.7, 4.1]",4.53,0.31,"[3.7, 3.9, 4.1]",3.9,0.16
ES2002a,distilbart,Baseline,generic,"[2.6, 2.7, 2.4]",2.57,0.12,"[1.8, 2.5, 2.7]",2.33,0.39,"[2.0, 2.4, 2.1]",2.17,0.17,"[3.2, 3.5, 3.9]",3.53,0.29
ES2002a,distilbart,Method1,generic,"[3.6, 4.1, 2.7]",3.47,0.58,"[4.1, 3.8, 3.7]",3.87,0.17,"[2.8, 2.1, 2.7]",2.53,0.31,"[4.0, 4.4, 3.7]",4.03,0.29
ES2002a,distilbart,Method2,manager,"[3.2, 3.3, 3.8]",3.43,0.26,"[3.5, 3.2, 3.6]",3.43,0.17,"[4.5, 4.8, 4.3]",4.53,0.21,"[3.9, 3.9, 3.5]",3.77,0.19
ES2002a,distilbart,Method2,engineer,"[3.6, 3.6, 3.5]",3.57,0.05,"[3.3, 2.9, 3.3]",3.17,0.19,"[4.2, 4.0, 4.2]",4.13,0.09,"[4.1, 4.7, 4.1]",4.3,0.28
ES2002a,distilbart,Method2,stakeholder,"[3.6, 3.5, 2.8]",3.3,0.36,"[3.4, 3.4, 4.3]",3.7,0.42,"[4.3, 4.5, 4.4]",4.4,0.08,"[3.6, 4.4, 4.3]",4.1,0.36
ES2002a,pegasus,Baseline,generic,"[3.1, 2.5, 3.3]",2.97,0.34,"[1.9, 2.6, 3.1]",2.53,0.49,"[1.7, 1.8, 2.0]",1.83,0.12,"[3.0, 2.7, 3.2]",2.97,0.21
ES2002a,pegasus,Method1,generic,"[3.2, 3.8, 3.3]",3.43,0.26,"[4.5, 3.7, 3.8]",4.0,0.36,"[3.1, 2.4, 2.9]",2.8,0.29,"[4.2, 3.1, 3.8]",3.7,0.45
